epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,18082.3,0.53132,0.91408,1.00074,0.92565,0.7615,0.71647,0.75054,0.47671,0.73733,0.62011,0.67994,0.34006,1.57055,3.8017,3.22105,1.95201,0.003466,0.003466,0.003466
68,18355.1,0.52544,0.90384,0.99315,0.92526,0.76563,0.71822,0.75445,0.47798,0.73803,0.61802,0.68396,0.34248,1.5638,3.79797,3.22801,1.94556,0.003367,0.003367,0.003367
69,18625.8,0.52006,0.8888,0.97282,0.92318,0.77069,0.71569,0.75539,0.47693,0.7371,0.61726,0.6845,0.34393,1.55902,3.79663,3.2053,1.94111,0.003268,0.003268,0.003268
70,18897.2,0.51925,0.89013,0.97693,0.92512,0.77315,0.71611,0.7567,0.47901,0.69763,0.64024,0.68194,0.34325,1.56195,3.80144,3.20857,1.94656,0.003169,0.003169,0.003169
71,19169.1,0.51459,0.88553,0.97031,0.92279,0.77226,0.71334,0.75663,0.47747,0.70083,0.64134,0.68011,0.34039,1.55442,3.80495,3.20447,1.94239,0.00307,0.00307,0.00307
72,19441,0.51003,0.87477,0.95351,0.91986,0.77289,0.71342,0.75605,0.4774,0.74296,0.62145,0.68299,0.34029,1.56383,3.81123,3.22802,1.95404,0.002971,0.002971,0.002971
73,19712.1,0.50603,0.8676,0.94591,0.9156,0.77338,0.70903,0.75445,0.47764,0.73809,0.61763,0.67828,0.34103,1.56421,3.82516,3.26599,1.95734,0.002872,0.002872,0.002872
74,19983.7,0.49802,0.86216,0.94211,0.91535,0.77294,0.70944,0.75518,0.47934,0.73371,0.6202,0.67877,0.34159,1.56357,3.83584,3.27262,1.95981,0.002773,0.002773,0.002773
75,20255.9,0.49583,0.84761,0.92569,0.91238,0.7713,0.71167,0.75247,0.47911,0.73236,0.62099,0.67706,0.34021,1.56374,3.84338,3.29408,1.96162,0.002674,0.002674,0.002674
76,20529.2,0.49305,0.84612,0.92815,0.91381,0.77052,0.71213,0.75201,0.48116,0.73607,0.62157,0.67769,0.34076,1.56091,3.84234,3.28436,1.96102,0.002575,0.002575,0.002575
77,20800.9,0.48559,0.83152,0.91222,0.90934,0.77012,0.71252,0.75627,0.48032,0.73532,0.62273,0.67645,0.33995,1.55988,3.8586,3.29647,1.96015,0.002476,0.002476,0.002476
