epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,22412.3,0.52564,0.9033,0.9442,0.94781,0.81499,0.70285,0.77106,0.48377,0.73476,0.63253,0.67916,0.34954,1.54529,3.62383,3.62179,2.13899,0.002971,0.002971,0.002971
73,22723.8,0.52337,0.89645,0.93845,0.94363,0.81327,0.70714,0.77578,0.48384,0.76033,0.6142,0.67746,0.34877,1.54606,3.63559,3.61731,2.14411,0.002872,0.002872,0.002872
74,23036.9,0.51424,0.8882,0.92486,0.94125,0.81178,0.70672,0.7762,0.4859,0.75999,0.61411,0.6773,0.34815,1.54486,3.64348,3.60419,2.14749,0.002773,0.002773,0.002773
75,23348.6,0.50947,0.87419,0.91466,0.93893,0.82615,0.69876,0.77484,0.48631,0.76337,0.61949,0.67783,0.34876,1.54542,3.65784,3.61729,2.15038,0.002674,0.002674,0.002674
76,23662.6,0.50717,0.87432,0.91631,0.93796,0.8208,0.69541,0.77125,0.48351,0.76417,0.62247,0.68027,0.34976,1.5468,3.6564,3.60005,2.15004,0.002575,0.002575,0.002575
77,23974.5,0.49723,0.85477,0.88913,0.93225,0.82397,0.69411,0.76947,0.48333,0.74759,0.62564,0.6789,0.34957,1.55016,3.66062,3.61886,2.15375,0.002476,0.002476,0.002476
78,24285.9,0.4932,0.84912,0.8826,0.92958,0.82548,0.69351,0.77138,0.4866,0.74644,0.62537,0.68114,0.3514,1.5514,3.65827,3.6539,2.15583,0.002377,0.002377,0.002377
79,24598.8,0.48938,0.84442,0.87312,0.93041,0.82745,0.6963,0.77536,0.48727,0.75557,0.6274,0.68497,0.35108,1.55147,3.66259,3.65894,2.15824,0.002278,0.002278,0.002278
80,24913.4,0.48597,0.83579,0.87186,0.93122,0.82329,0.6916,0.77088,0.48782,0.76852,0.62315,0.68804,0.3521,1.54913,3.66759,3.65822,2.15839,0.002179,0.002179,0.002179
81,25228.6,0.47785,0.82272,0.85647,0.92699,0.81157,0.69963,0.77057,0.4871,0.76883,0.62297,0.68717,0.35178,1.5487,3.67305,3.66432,2.16038,0.00208,0.00208,0.00208
82,25545.7,0.47701,0.82267,0.84968,0.92664,0.8176,0.70336,0.77594,0.48974,0.77086,0.6219,0.68816,0.35108,1.54768,3.67424,3.66633,2.1608,0.001981,0.001981,0.001981
83,25859.4,0.47426,0.81708,0.84492,0.92421,0.80465,0.71244,0.7764,0.49127,0.77136,0.62238,0.68854,0.35071,1.54423,3.67819,3.66655,2.15828,0.001882,0.001882,0.001882
84,26174.3,0.46658,0.79836,0.82608,0.92075,0.84369,0.68191,0.77797,0.49274,0.772,0.62229,0.68954,0.35056,1.54291,3.68512,3.6829,2.16019,0.001783,0.001783,0.001783
85,26487.6,0.46407,0.79498,0.82693,0.92117,0.84331,0.67976,0.77804,0.49328,0.77143,0.61947,0.68909,0.35065,1.54419,3.68921,3.6792,2.16281,0.001684,0.001684,0.001684
86,26801.2,0.45825,0.78699,0.81532,0.91638,0.84388,0.67966,0.77843,0.49277,0.77161,0.61914,0.68944,0.3508,1.5421,3.69378,3.65739,2.16185,0.001585,0.001585,0.001585
87,27116.5,0.45248,0.78162,0.80954,0.91437,0.85002,0.68377,0.77864,0.49128,0.77131,0.61962,0.68871,0.35093,1.54445,3.70229,3.67704,2.16289,0.001486,0.001486,0.001486
88,27428.9,0.45022,0.77297,0.80279,0.9121,0.8497,0.68335,0.77951,0.49367,0.77161,0.61953,0.68993,0.35228,1.54529,3.70638,3.69029,2.16271,0.001387,0.001387,0.001387
89,27742.2,0.44251,0.76123,0.78698,0.91028,0.84844,0.68279,0.77716,0.49444,0.77099,0.61917,0.69062,0.35412,1.54774,3.71149,3.69008,2.16451,0.001288,0.001288,0.001288
90,28054.5,0.43878,0.75437,0.77535,0.90878,0.84827,0.68264,0.77739,0.49345,0.77077,0.61917,0.69169,0.3532,1.54709,3.71595,3.6838,2.16442,0.001189,0.001189,0.001189
91,28402,0.34599,0.60533,0.59329,0.87315,0.84792,0.68305,0.7765,0.49233,0.76995,0.61917,0.69342,0.35131,1.54793,3.7228,3.69436,2.16707,0.00109,0.00109,0.00109
92,28745.5,0.33246,0.57788,0.57602,0.86575,0.83745,0.69149,0.77725,0.49298,0.76811,0.61771,0.6933,0.35165,1.54865,3.72952,3.70172,2.16933,0.000991,0.000991,0.000991
93,29087.8,0.32403,0.56573,0.56501,0.86265,0.83545,0.68976,0.7763,0.4938,0.76688,0.61666,0.69215,0.35141,1.54837,3.7389,3.69264,2.17137,0.000892,0.000892,0.000892
94,29429.7,0.31681,0.55302,0.55377,0.85999,0.84067,0.68787,0.77685,0.49389,0.76276,0.61866,0.69285,0.35027,1.54877,3.74723,3.69281,2.17424,0.000793,0.000793,0.000793
95,29772.2,0.30979,0.54548,0.54475,0.85795,0.84163,0.68772,0.77757,0.49512,0.76183,0.62093,0.69327,0.35218,1.54817,3.75687,3.6817,2.17609,0.000694,0.000694,0.000694
96,30111.8,0.30589,0.53949,0.53856,0.85535,0.83706,0.68555,0.77694,0.49591,0.76846,0.62868,0.69789,0.35277,1.55133,3.76146,3.6722,2.18246,0.000595,0.000595,0.000595
97,30455.4,0.29862,0.53354,0.53127,0.85191,0.81406,0.70657,0.77798,0.49605,0.76968,0.62924,0.69908,0.35486,1.54813,3.77288,3.65151,2.18261,0.000496,0.000496,0.000496
98,30796.5,0.29334,0.52646,0.5197,0.84859,0.83848,0.68703,0.77512,0.49606,0.76885,0.62906,0.69903,0.35486,1.54892,3.78123,3.66455,2.18491,0.000397,0.000397,0.000397
99,31136.4,0.28741,0.52052,0.50946,0.84787,0.81171,0.7079,0.77427,0.49572,0.76915,0.62791,0.69933,0.35436,1.55228,3.78601,3.67094,2.19008,0.000298,0.000298,0.000298
100,31476.8,0.28353,0.51655,0.50317,0.84753,0.81177,0.70803,0.77453,0.49719,0.77187,0.62568,0.69982,0.35582,1.55391,3.79542,3.67268,2.19544,0.000199,0.000199,0.000199
